	Event	Transcript Name	Link
	WWDC24	Create custom visual effects with SwiftUI	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10151/eng_e7f203cb60c8/wwdc2024-10151-transcript-eng.json
	WWDC24	Customize spatial Persona templates in SharePlay	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10201/eng_d70a9382828f/wwdc2024-10201-transcript-eng.json
	WWDC24	Explore Swift performance	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10217/eng_6262e3885557/wwdc2024-10217-transcript-eng.json
	WWDC24	Extend your Xcode Cloud workflows	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10200/eng_6500ceabebc3/wwdc2024-10200-transcript-eng.json
	WWDC24	Get started with Dynamic Type	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10074/eng_2e495c770e37/wwdc2024-10074-transcript-eng.json
	WWDC24	Implement App Store Offers	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10110/eng_2bf96fac464e/wwdc2024-10110-transcript-eng.json
	WWDC24	Meet AccessorySetupKit	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10203/eng_60877df77513/wwdc2024-10203-transcript-eng.json
	WWDC24	Meet the Contact Access Button	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10121/eng_0ea04c0de137/wwdc2024-10121-transcript-eng.json
	WWDC24	Track model changes with SwiftData history	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10075/eng_0cdaa04d404b/wwdc2024-10075-transcript-eng.json
	WWDC24	Train your machine learning and AI models on Apple GPUs	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10160/eng_0835a31f7829/wwdc2024-10160-transcript-eng.json
	WWDC24	Use CloudKit Console to monitor and optimize database activity	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10122/eng_d88a68b29034/wwdc2024-10122-transcript-eng.json
	WWDC24	Use HDR for dynamic image experiences in your app	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10177/eng_2dded675dab9/wwdc2024-10177-transcript-eng.json
	WWDC24	What’s new in App Store Connect	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10063/eng_4763325e62b7/wwdc2024-10063-transcript-eng.json
	WWDC24	What’s new in DockKit	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10164/eng_f2747670dadb/wwdc2024-10164-transcript-eng.json
	WWDC24	What’s new in Quick Look for visionOS	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10105/eng_3955f78fb71d/wwdc2024-10105-transcript-eng.json
	WWDC24	What’s new in USD and MaterialX	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10106/eng_74a17252cc1f/wwdc2024-10106-transcript-eng.json
	WWDC24	What’s new in Wallet and Apple Pay	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10108/eng_3aa88a21ecd8/wwdc2024-10108-transcript-eng.json
	WWDC24	What’s new in device management	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10143/eng_9c37168e7498/wwdc2024-10143-transcript-eng.json
WWDC23			
	WWDC23	17 big & little things at WWDC23	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2023/wwdc2023-111486/eng_04a9aa5a8efa/wwdc2023-111486-transcript-eng.json
	WWDC23	What Apple developers need to know at WWDC23	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2023/wwdc2023-111488/eng_7f9a530d288a/wwdc2023-111488-transcript-eng.json
	WWDC23	Add SharePlay to your app	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2023/wwdc2023-10239/eng_104638a6c110/wwdc2023-10239-transcript-eng.json
